,date,time,venue,attendance,duration,time_of_day,winner,winning_name,winning_abbr,losing_name,losing_abbr,away_at_bats,away_runs,away_hits,away_rbi,away_earned_runs,away_bases_on_balls,away_strikeouts,away_plate_appearances,away_batting_average,away_on_base_percentage,away_slugging_percentage,away_on_base_plus,away_pitches,away_strikes,away_win_probability_for_offensive_player,away_average_leverage_index,away_win_probability_added,away_win_probability_subtracted,away_base_out_runs_added,away_putouts,away_assists,away_innings_pitched,away_home_runs,away_strikes_by_contact,away_strikes_swinging,away_strikes_looking,away_grounded_balls,away_fly_balls,away_line_drives,away_unknown_bat_type,away_game_score,away_inherited_runners,away_inherited_score,away_win_probability_by_pitcher,away_base_out_runs_saved,home_at_bats,home_runs,home_hits,home_rbi,home_earned_runs,home_bases_on_balls,home_strikeouts,home_plate_appearances,home_batting_average,home_on_base_percentage,home_slugging_percentage,home_on_base_plus,home_pitches,home_strikes,home_win_probability_for_offensive_player,home_average_leverage_index,home_win_probability_added,home_win_probability_subtracted,home_base_out_runs_added,home_putouts,home_assists,home_innings_pitched,home_home_runs,home_strikes_by_contact,home_strikes_swinging,home_strikes_looking,home_grounded_balls,home_fly_balls,home_line_drives,home_unknown_bat_type,home_game_score,home_inherited_runners,home_inherited_score,home_win_probability_by_pitcher,home_base_out_runs_saved
CHN/CHN196508220,"Sunday, August 22, 1965",,Wrigley Field,9106,1:50,Day,Home,Chicago Cubs,CHC,Houston Astros,HOU,36,1,7,1,1.0,1,7,38,0.194,0.216,0.222,0.438,,,-0.509,0.66,0.733,-1.244,-3.1,24,6,8.0,2,,,,,,,,56,,,0.01,0.7,34,3,8,3,3.38,1,3,35,0.235,0.257,0.412,0.669,,,-0.011,1.79,0.423,-0.433,-0.7,27,8,9.0,0,,,,,,,,75,,,0.51,3.1
PHI/PHI196508240,"Tuesday, August 24, 1965",8:08 p.m. Local,Connie Mack Stadium,13863,2:31,Night,Away,Houston Astros,HOU,Philadelphia Phillies,PHI,31,4,7,2,3.0,5,11,38,0.226,0.351,0.355,0.706,,,0.207,1.45,1.168,-0.959,0.1,27,12,9.0,0,,,,,,,,64,,,0.293,0.9,29,3,7,2,2.0,3,4,34,0.241,0.313,0.241,0.554,,,-0.293,1.44,0.551,-0.842,-0.9,27,8,9.0,1,,,,,,,,50,0,0,-0.207,-0.1
PHI/PHI196508250,"Wednesday, August 25, 1965",8:23 p.m. Local,Connie Mack Stadium,11066,3:07,Night,Away,Houston Astros,HOU,Philadelphia Phillies,PHI,35,7,11,4,5.0,8,4,47,0.314,0.444,0.4,0.844,,,0.916,1.45,1.828,-0.914,3.1,27,10,9.0,2,,,,,,,,44,3,0,-0.416,-2.1,35,6,10,6,6.0,2,9,37,0.286,0.324,0.543,0.867,,,0.414,1.88,1.293,-0.878,2.1,27,12,9.0,0,,,,,,,,36,4,1,-0.915,-3.1
PHI/PHI196508260,"Thursday, August 26, 1965",8:05 p.m. Local,Connie Mack Stadium,21805,3:04,Night,Away,Houston Astros,HOU,Philadelphia Phillies,PHI,36,6,10,5,4.0,1,8,38,0.278,0.297,0.472,0.77,,,0.609,1.64,1.316,-0.707,2.1,27,10,9.0,0,,,,,,,,39,6,1,-0.108,-0.1,40,4,14,3,3.0,2,10,42,0.35,0.381,0.45,0.831,,,0.108,1.26,1.308,-1.198,0.1,27,9,9.0,2,,,,,,,,52,0,0,-0.609,-2.1
PIT/PIT196508270,"Friday, August 27, 1965",,Forbes Field,12917,3:13,Night,Home,Pittsburgh Pirates,PIT,Houston Astros,HOU,47,9,18,8,6.55,0,10,49,0.383,0.367,0.596,0.963,,,0.127,1.58,0.818,-0.69,4.1,31,15,10.1,0,,,,,,,,41,9,5,-0.629,-5.9,45,10,17,10,8.71,1,8,49,0.378,0.388,0.444,0.832,,,0.629,0.86,1.618,-0.988,5.9,33,15,11.0,1,,,,,,,,30,4,2,-0.128,-4.1
PIT/PIT196508280,"Saturday, August 28, 1965",,Forbes Field,7051,2:51,Day,Away,Houston Astros,HOU,Pittsburgh Pirates,PIT,37,9,12,7,5.0,8,2,46,0.324,0.457,0.514,0.97,,,0.64,1.03,1.464,-0.824,5.0,27,11,9.0,1,,,,,,,,33,0,0,-0.139,-2.0,33,6,7,6,6.0,3,4,37,0.212,0.27,0.364,0.634,,,0.14,1.31,0.743,-0.604,2.0,27,19,9.0,1,,,,,,,,34,4,2,-0.639,-5.0
PIT/PIT196508290,"Sunday, August 29, 1965",,Forbes Field,30002,2:34,Day,Home,Pittsburgh Pirates,PIT,Houston Astros,HOU,37,2,11,2,0.0,6,3,43,0.297,0.395,0.297,0.693,,,-0.265,1.07,0.874,-1.138,-2.0,24,14,8.0,0,,,,,,,,42,0,0,-0.235,-0.4,28,4,6,4,4.5,5,2,35,0.214,0.353,0.321,0.674,,,0.234,1.55,0.762,-0.528,0.4,27,18,9.0,0,,,,,,,,41,4,0,0.265,2.0
NYN/NYN196508311,"Tuesday, August 31, 1965",6:00 p.m. Local,Shea Stadium,,2:04,Night,Away,Houston Astros,HOU,New York Mets,NYM,29,4,4,4,4.0,3,3,34,0.138,0.242,0.345,0.587,,,0.139,1.54,0.498,-0.358,0.2,27,11,9.0,0,,,,,,,,62,2,1,0.359,0.8,34,3,7,2,2.0,2,5,37,0.206,0.25,0.206,0.456,,,-0.358,0.6,0.597,-0.956,-0.8,27,15,9.0,2,,,,,,,,33,1,0,-0.142,-0.2
NYN/NYN196508312,"Tuesday, August 31, 1965",,Shea Stadium,25562,1:56,Night,Away,Houston Astros,HOU,New York Mets,NYM,30,3,4,3,2.0,4,3,36,0.133,0.229,0.3,0.529,,,0.09,1.4,0.721,-0.631,-0.8,27,14,9.0,1,,,,,,,,74,,,0.41,1.8,31,2,4,2,2.0,1,4,32,0.129,0.156,0.226,0.382,,,-0.411,1.19,0.486,-0.895,-1.8,27,10,9.0,1,,,,,,,,68,,,-0.09,0.8
NYN/NYN196509011,"Wednesday, September 1, 1965",1:00 p.m. Local,Shea Stadium,,2:20,Day,Home,New York Mets,NYM,Houston Astros,HOU,33,1,7,1,1.0,1,3,34,0.212,0.235,0.242,0.478,,,-0.421,0.74,0.479,-0.901,-2.8,24,8,8.0,0,,,,,,,,37,3,0,-0.078,-0.6,27,4,5,3,4.5,6,8,33,0.185,0.333,0.333,0.667,,,0.08,1.23,0.463,-0.382,0.6,27,13,9.0,0,,,,,,,,71,,,0.422,2.8
NYN/NYN196509012,"Wednesday, September 1, 1965",,Shea Stadium,13880,2:43,Day,Away,Houston Astros,HOU,New York Mets,NYM,37,8,10,7,6.0,2,10,39,0.27,0.308,0.568,0.875,,,0.433,0.69,0.61,-0.177,4.2,27,6,9.0,0,,,,,,,,39,2,1,0.068,-1.2,36,5,11,5,4.0,1,11,38,0.306,0.316,0.417,0.732,,,-0.067,0.37,0.447,-0.516,1.2,27,8,9.0,3,,,,,,,,28,3,0,-0.432,-4.2
NYN/NYN196509020,"Thursday, September 2, 1965",2:00 p.m. Local,Shea Stadium,11430,2:56,Day,Away,Houston Astros,HOU,New York Mets,NYM,37,4,12,4,3.0,3,7,40,0.324,0.375,0.486,0.861,,,0.124,1.65,0.786,-0.664,0.2,27,9,9.0,0,,,,,,,,65,3,1,0.378,0.8,33,3,7,3,3.0,3,4,37,0.212,0.278,0.242,0.52,,,-0.377,0.93,0.745,-1.124,-0.8,27,12,9.0,1,,,,,,,,54,3,2,-0.122,-0.2
HOU/HOU196509030,"Friday, September 3, 1965",,Astrodome,31154,2:14,Night,Away,Los Angeles Dodgers,LAD,Houston Astros,HOU,31,3,7,3,3.0,3,5,36,0.226,0.294,0.323,0.617,,,-0.118,1.52,0.39,-0.509,-0.7,27,19,9.0,0,,,,,,,,57,2,0,0.618,3.7,30,0,8,0,0.0,3,3,35,0.267,0.353,0.3,0.653,,,-0.62,0.81,0.492,-1.111,-3.7,27,16,9.0,0,,,,,,,,65,0,0,0.118,0.7
HOU/HOU196509040,"Saturday, September 4, 1965",,Astrodome,41951,2:13,Day,Away,Los Angeles Dodgers,LAD,Houston Astros,HOU,33,5,8,3,5.0,3,5,38,0.242,0.324,0.273,0.597,,,0.271,0.54,0.497,-0.226,1.3,27,15,9.0,0,,,,,,,,57,4,0,0.229,3.7,31,0,5,0,0.0,3,4,34,0.161,0.235,0.161,0.397,,,-0.23,0.52,0.175,-0.404,-3.7,27,11,9.0,0,,,,,,,,29,2,0,-0.27,-1.3
HOU/HOU196509050,"Sunday, September 5, 1965",,Astrodome,49442,2:05,Day,Away,Los Angeles Dodgers,LAD,Houston Astros,HOU,34,4,7,4,4.0,0,4,34,0.206,0.206,0.324,0.529,,,0.495,1.29,1.443,-0.949,0.3,27,9,9.0,0,,,,,,,,63,0,0,0.005,1.7,29,2,4,1,2.0,3,6,34,0.138,0.242,0.138,0.38,,,-0.006,1.47,0.692,-0.697,-1.7,27,8,9.0,0,,,,,,,,58,1,0,-0.495,-0.3
HOU/HOU196509060,"Monday, September 6, 1965",,Astrodome,31814,1:51,Night,Home,Houston Astros,HOU,Chicago Cubs,CHC,32,1,5,1,1.0,1,3,34,0.156,0.176,0.156,0.333,,,-0.472,0.95,0.32,-0.791,-2.7,24,9,8.0,1,,,,,,,,62,,,-0.029,1.3,30,2,7,2,2.25,1,3,32,0.233,0.281,0.367,0.648,,,0.028,1.29,0.597,-0.57,-1.3,27,13,9.0,0,,,,,,,,75,,,0.472,2.7
SFN/SFN196509080,"Wednesday, September 8, 1965",,Candlestick Park,8922,2:27,Day,Home,San Francisco Giants,SFG,Houston Astros,HOU,33,3,9,3,3.0,1,4,37,0.273,0.306,0.424,0.73,,,-0.174,0.4,0.265,-0.439,-1.1,24,12,8.0,3,,,,,,,,22,0,0,-0.326,-8.3,38,12,15,12,13.5,3,5,41,0.395,0.439,0.711,1.15,,,0.327,0.59,0.465,-0.139,8.3,27,8,9.0,1,,,,,,,,60,,,0.175,1.1
SFN/SFN196509090,"Thursday, September 9, 1965",,Candlestick Park,20076,1:55,Day,Home,San Francisco Giants,SFG,Houston Astros,HOU,30,0,4,0,0.0,1,5,31,0.133,0.161,0.167,0.328,,,-0.344,0.46,0.11,-0.454,-4.1,24,7,8.0,1,,,,,,,,54,0,0,-0.156,-0.3,28,4,5,4,4.5,1,6,30,0.179,0.2,0.393,0.593,,,0.155,0.65,0.373,-0.219,0.3,27,6,9.0,0,,,,,,,,83,,,0.344,4.1
LAN/LAN196509100,"Friday, September 10, 1965",,Dodger Stadium,30200,2:00,Night,Home,Los Angeles Dodgers,LAD,Houston Astros,HOU,33,2,7,2,2.0,1,3,35,0.212,0.235,0.424,0.66,,,-0.174,0.67,0.652,-0.825,-1.7,24,6,8.0,1,,,,,,,,48,0,0,-0.326,-1.7,33,5,9,3,2.25,1,2,34,0.273,0.294,0.394,0.688,,,0.327,1.16,0.714,-0.388,1.7,27,12,9.0,2,,,,,,,,56,0,0,0.174,1.7
LAN/LAN196509110,"Saturday, September 11, 1965",,Dodger Stadium,30278,2:32,Night,Home,Los Angeles Dodgers,LAD,Houston Astros,HOU,38,3,12,3,3.0,3,4,41,0.316,0.366,0.342,0.708,,,-0.17,0.38,0.343,-0.512,-0.7,24,9,8.0,0,,,,,,,,41,0,0,-0.33,-4.7,35,8,12,5,5.62,1,6,38,0.343,0.378,0.4,0.778,,,0.332,0.68,0.518,-0.185,4.7,27,13,9.0,0,,,,,,,,45,5,0,0.17,0.7
LAN/LAN196509120,"Sunday, September 12, 1965",,Dodger Stadium,21918,2:40,Day,Away,Houston Astros,HOU,Los Angeles Dodgers,LAD,32,3,7,3,3.0,4,4,39,0.219,0.297,0.25,0.547,,,0.214,1.47,1.195,-0.981,-0.7,27,12,9.0,1,,,,,,,,63,0,0,0.285,1.7,34,2,7,1,1.0,1,6,36,0.206,0.229,0.324,0.552,,,-0.283,1.86,0.619,-0.902,-1.7,27,8,9.0,0,,,,,,,,57,4,1,-0.216,0.7
HOU/HOU196509130,"Monday, September 13, 1965",,Astrodome,19827,2:10,Night,Away,San Francisco Giants,SFG,Houston Astros,HOU,33,5,8,5,5.0,3,4,37,0.242,0.297,0.424,0.722,,,0.325,0.68,0.658,-0.334,1.3,27,9,9.0,1,,,,,,,,70,,,0.176,2.7,35,1,8,1,1.0,0,3,35,0.229,0.229,0.343,0.571,,,-0.175,0.83,0.299,-0.475,-2.7,27,11,9.0,1,,,,,,,,32,3,1,-0.324,-1.3
HOU/HOU196509140,"Tuesday, September 14, 1965",,Astrodome,15415,3:19,Night,Away,San Francisco Giants,SFG,Houston Astros,HOU,42,7,13,7,6.3,4,6,47,0.31,0.37,0.381,0.751,,,0.671,1.3,1.376,-0.704,2.9,30,11,10.0,0,,,,,,,,49,7,3,-0.169,-0.9,38,5,12,5,4.5,3,6,42,0.316,0.357,0.395,0.752,,,0.169,1.26,1.104,-0.934,0.9,30,10,10.0,1,,,,,,,,56,3,3,-0.669,-2.9
HOU/HOU196509150,"Wednesday, September 15, 1965",,Astrodome,19176,2:16,Night,Away,San Francisco Giants,SFG,Houston Astros,HOU,33,3,5,3,1.0,0,1,33,0.152,0.152,0.212,0.364,,,0.263,1.49,0.734,-0.473,-0.7,27,10,9.0,1,,,,,,,,54,1,0,0.236,1.7,32,2,8,1,1.0,4,4,36,0.25,0.333,0.406,0.74,,,-0.238,0.89,0.86,-1.095,-1.7,27,11,9.0,0,,,,,,,,64,0,0,-0.263,0.7
HOU/HOU196509160,"Thursday, September 16, 1965",,Astrodome,15187,1:56,Night,Away,San Francisco Giants,SFG,Houston Astros,HOU,30,5,6,5,5.0,4,4,37,0.2,0.278,0.4,0.678,,,0.326,0.44,0.407,-0.08,1.3,27,10,9.0,0,,,,,,,,75,,,0.173,2.7,31,1,6,1,1.0,3,7,35,0.194,0.257,0.258,0.515,,,-0.174,0.38,0.136,-0.308,-2.7,27,9,9.0,1,,,,,,,,30,0,0,-0.327,-1.3
CIN/CIN196509170,"Friday, September 17, 1965",,Crosley Field,10431,2:37,Night,Home,Cincinnati Reds,CIN,Houston Astros,HOU,32,2,7,2,2.0,6,6,39,0.219,0.342,0.219,0.561,,,-0.422,0.91,0.662,-1.087,-2.3,24,8,8.0,0,,,,,,,,63,0,0,-0.077,-0.2,30,4,9,4,4.5,0,6,32,0.3,0.313,0.4,0.713,,,0.078,1.53,0.577,-0.501,0.2,27,8,9.0,0,,,,,,,,61,1,0,0.424,2.3
CIN/CIN196509191,"Sunday, September 19, 1965",1:05 p.m. Local,Crosley Field,,2:49,Day,Away,Houston Astros,HOU,Cincinnati Reds,CIN,37,8,10,8,6.0,2,6,41,0.27,0.3,0.432,0.732,,,0.849,1.09,1.531,-0.682,3.7,27,10,9.0,2,,,,,,,,38,0,0,-0.349,-1.7,34,6,9,6,6.0,4,7,40,0.265,0.359,0.471,0.83,,,0.348,1.3,1.029,-0.681,1.7,27,12,9.0,2,,,,,,,,39,2,2,-0.849,-3.7
CIN/CIN196509192,"Sunday, September 19, 1965",,Crosley Field,19907,2:15,Day,Home,Cincinnati Reds,CIN,Houston Astros,HOU,36,3,10,3,3.0,2,8,39,0.278,0.333,0.417,0.75,,,-0.28,1.14,0.988,-1.266,-1.3,24,10,8.0,2,,,,,,,,43,0,0,-0.222,-0.2,34,4,11,4,4.5,2,4,36,0.324,0.361,0.559,0.92,,,0.223,1.67,0.957,-0.734,0.2,27,10,9.0,1,,,,,,,,51,0,0,0.278,1.3
SLN/SLN196509210,"Tuesday, September 21, 1965",8:01 p.m. Local,Busch Stadium I,4348,2:12,Night,Home,St. Louis Cardinals,STL,Houston Astros,HOU,30,0,5,0,0.0,5,9,35,0.167,0.286,0.2,0.486,,,-0.502,0.68,0.469,-0.97,-4.4,24,8,8.0,0,,,,,,,,57,0,0,0.003,0.9,32,3,7,3,2.25,1,3,33,0.219,0.242,0.313,0.555,,,-0.004,1.29,0.374,-0.377,-0.9,27,13,9.0,0,,,,,,,,78,2,0,0.503,4.4
SLN/SLN196509220,"Wednesday, September 22, 1965",8:01 p.m. Local,Busch Stadium I,5896,2:19,Night,Home,St. Louis Cardinals,STL,Houston Astros,HOU,30,1,4,1,1.0,3,4,33,0.133,0.212,0.2,0.412,,,-0.407,0.5,0.242,-0.648,-3.4,24,9,8.0,2,,,,,,,,47,0,0,-0.093,-0.1,32,4,10,4,4.5,5,9,37,0.312,0.405,0.563,0.968,,,0.094,0.87,0.419,-0.327,0.1,27,8,9.0,0,,,,,,,,76,,,0.407,3.4
HOU/HOU196509250,"Saturday, September 25, 1965",,Astrodome,24443,2:16,Night,Away,Cincinnati Reds,CIN,Houston Astros,HOU,31,1,6,1,1.0,4,3,36,0.194,0.286,0.258,0.544,,,-0.235,1.38,0.471,-0.705,-2.7,27,12,9.0,0,,,,,,,,86,,,0.733,3.7,27,0,2,0,0.0,3,6,31,0.074,0.167,0.111,0.278,,,-0.734,1.1,0.201,-0.935,-3.7,27,10,9.0,0,,,,,,,,63,0,0,0.232,2.7
HOU/HOU196509260,"Sunday, September 26, 1965",,Astrodome,15540,2:29,Day,Home,Houston Astros,HOU,Cincinnati Reds,CIN,35,2,9,2,2.0,2,6,38,0.257,0.316,0.257,0.573,,,-0.04,1.89,0.755,-0.795,-1.7,25,12,8.1,1,,,,,,,,60,0,0,-0.461,-0.5,35,4,11,4,4.32,5,4,40,0.314,0.4,0.4,0.8,,,0.46,1.21,1.485,-1.024,0.5,27,12,9.0,0,,,,,,,,60,0,0,0.039,1.7
HOU/HOU196509270,"Monday, September 27, 1965",,Astrodome,8380,3:15,Night,Home,Houston Astros,HOU,Milwaukee Braves,MLN,39,3,8,3,2.7,4,9,43,0.205,0.279,0.333,0.612,,,-0.098,1.21,1.174,-1.271,-1.1,28,14,9.1,0,,,,,,,,43,0,0,-0.401,-0.5,33,4,6,2,1.93,6,5,39,0.182,0.308,0.212,0.52,,,0.402,1.77,1.076,-0.673,0.5,30,12,10.0,0,,,,,,,,63,1,0,0.1,1.1
HOU/HOU196509280,"Tuesday, September 28, 1965",,Astrodome,9809,2:15,Night,Away,Milwaukee Braves,MLN,Houston Astros,HOU,31,7,8,7,7.0,4,6,38,0.258,0.342,0.323,0.665,,,0.268,0.53,0.554,-0.287,3.3,27,11,9.0,1,,,,,,,,78,,,0.234,2.7,31,1,6,1,1.0,3,10,34,0.194,0.265,0.355,0.62,,,-0.234,0.61,0.173,-0.407,-2.7,27,14,9.0,0,,,,,,,,36,2,0,-0.266,-3.3
HOU/HOU196509290,"Wednesday, September 29, 1965",,Astrodome,8895,1:56,Night,Away,Milwaukee Braves,MLN,Houston Astros,HOU,35,5,10,5,2.0,4,7,39,0.286,0.359,0.371,0.73,,,0.269,0.39,0.581,-0.312,1.3,27,7,9.0,0,,,,,,,,81,,,0.23,2.7,30,1,5,1,1.0,0,8,30,0.167,0.167,0.2,0.367,,,-0.231,0.62,0.043,-0.273,-2.7,27,11,9.0,1,,,,,,,,33,1,0,-0.27,-1.3
HOU/HOU196509300,"Thursday, September 30, 1965",7:30 p.m. Local,Astrodome,7494,2:49,Night,Away,St. Louis Cardinals,STL,Houston Astros,HOU,45,19,19,19,18.0,7,4,54,0.422,0.481,0.578,1.059,,,0.465,0.27,0.571,-0.105,15.3,27,10,9.0,0,,,,,,,,34,0,0,0.034,-4.3,36,8,11,8,8.0,4,3,41,0.306,0.366,0.417,0.783,,,-0.035,0.34,0.134,-0.166,4.3,27,10,9.0,1,,,,,,,,20,3,3,-0.466,-15.3
HOU/HOU196510010,"Friday, October 1, 1965",7:30 p.m. Local,Astrodome,10247,1:47,Night,Home,Houston Astros,HOU,St. Louis Cardinals,STL,30,2,5,2,2.0,1,2,31,0.167,0.194,0.2,0.394,,,-0.262,0.61,0.327,-0.587,-1.7,24,8,8.0,0,,,,,,,,47,2,0,-0.239,-0.7,29,4,6,4,4.5,4,6,33,0.207,0.303,0.31,0.613,,,0.239,0.86,0.561,-0.322,0.7,27,7,9.0,0,,,,,,,,61,0,0,0.26,1.7
HOU/HOU196510020,"Saturday, October 2, 1965",1:30 p.m. Local,Astrodome,12698,2:07,Day,Away,St. Louis Cardinals,STL,Houston Astros,HOU,34,6,11,5,6.0,2,1,37,0.324,0.378,0.5,0.878,,,0.462,0.74,1.028,-0.565,2.3,27,11,9.0,0,,,,,,,,61,,,0.037,0.7,32,3,7,3,3.0,2,2,35,0.219,0.257,0.406,0.663,,,-0.037,1.06,0.435,-0.471,-0.7,27,14,9.0,0,,,,,,,,53,3,0,-0.462,-2.3
HOU/HOU196510030,"Sunday, October 3, 1965",1:30 p.m. Local,Astrodome,13535,1:54,Day,Away,St. Louis Cardinals,STL,Houston Astros,HOU,35,5,7,4,3.0,4,6,39,0.2,0.282,0.229,0.511,,,0.295,1.07,0.86,-0.567,1.3,27,8,9.0,0,,,,,,,,64,,,0.205,1.7,33,2,9,2,2.0,1,4,35,0.273,0.294,0.303,0.597,,,-0.206,1.07,0.511,-0.716,-1.7,27,13,9.0,0,,,,,,,,46,2,1,-0.295,-1.3
LAN/LAN196604120,"Tuesday, April 12, 1966",,Dodger Stadium,34520,2:08,Night,Home,Los Angeles Dodgers,LAD,Houston Astros,HOU,31,2,6,2,1.0,2,5,35,0.194,0.235,0.194,0.429,,,-0.462,1.12,0.484,-0.944,-1.8,24,14,8.0,0,,,,,,,,54,0,0,-0.039,0.4,28,3,10,3,2.25,1,1,32,0.357,0.367,0.357,0.724,,,0.039,1.42,0.562,-0.523,-0.3,27,13,9.0,0,,,,,,,,72,,,0.461,1.8
LAN/LAN196604130,"Wednesday, April 13, 1966",,Dodger Stadium,24049,2:38,Night,Away,Houston Astros,HOU,Los Angeles Dodgers,LAD,34,7,9,7,3.0,2,7,38,0.265,0.297,0.5,0.797,,,0.677,1.27,1.531,-0.855,3.2,27,14,9.0,2,,,,,,,,30,0,0,-0.176,-2.2,31,6,6,6,6.0,7,2,39,0.194,0.333,0.387,0.72,,,0.176,1.46,0.991,-0.815,2.2,27,10,9.0,2,,,,,,,,37,1,0,-0.676,-3.2
LAN/LAN196604140,"Thursday, April 14, 1966",8:01 p.m. Local,Dodger Stadium,18550,2:33,Night,Away,Houston Astros,HOU,Los Angeles Dodgers,LAD,33,4,9,4,3.0,1,9,38,0.273,0.286,0.394,0.68,,,0.32,1.24,1.023,-0.705,0.2,27,13,9.0,2,,,,,,,,51,2,0,0.181,1.8,34,2,10,2,2.0,2,4,36,0.294,0.333,0.5,0.833,,,-0.182,1.37,0.665,-0.847,-1.8,27,5,9.0,1,,,,,,,,59,1,1,-0.32,-0.2
SFN/SFN196604150,"Friday, April 15, 1966",,Candlestick Park,20274,2:21,Night,Home,San Francisco Giants,SFG,Houston Astros,HOU,33,2,7,2,2.0,3,5,36,0.212,0.278,0.273,0.551,,,-0.14,0.56,0.341,-0.481,-2.3,24,14,8.0,1,,,,,,,,25,0,0,-0.359,-2.2,28,6,7,5,5.62,4,3,34,0.25,0.344,0.393,0.737,,,0.359,0.7,0.597,-0.238,2.2,27,14,9.0,0,,,,,,,,47,2,0,0.141,2.3
SFN/SFN196604160,"Saturday, April 16, 1966",,Candlestick Park,18472,2:22,Day,Home,San Francisco Giants,SFG,Houston Astros,HOU,30,1,7,1,1.0,1,3,34,0.233,0.258,0.333,0.591,,,-0.215,0.47,0.311,-0.523,-3.3,24,8,8.0,1,,,,,,,,31,1,1,-0.286,-3.2,36,7,12,7,7.88,2,4,38,0.333,0.368,0.556,0.924,,,0.287,0.83,0.56,-0.273,3.2,27,15,9.0,1,,,,,,,,71,,,0.214,3.3
SFN/SFN196604170,"Sunday, April 17, 1966",,Candlestick Park,23403,2:08,Day,Home,San Francisco Giants,SFG,Houston Astros,HOU,30,1,3,0,0.0,4,6,34,0.1,0.206,0.133,0.339,,,-0.491,1.07,0.369,-0.861,-3.3,24,9,8.0,1,,,,,,,,58,2,0,-0.008,0.8,32,3,7,3,3.38,1,6,33,0.219,0.242,0.375,0.617,,,0.008,1.2,0.669,-0.661,-0.8,27,8,9.0,0,,,,,,,,77,2,0,0.492,3.3
HOU/HOU196604180,"Monday, April 18, 1966",,Astrodome,25182,2:33,Night,Away,Los Angeles Dodgers,LAD,Houston Astros,HOU,36,6,13,5,6.0,5,8,44,0.361,0.439,0.417,0.856,,,0.314,0.94,0.71,-0.397,2.2,27,9,9.0,0,,,,,,,,58,0,0,0.186,0.8,37,3,9,3,3.0,1,5,38,0.243,0.263,0.324,0.587,,,-0.185,0.62,0.479,-0.668,-0.8,27,6,9.0,0,,,,,,,,20,2,1,-0.313,-2.2
HOU/HOU196604190,"Tuesday, April 19, 1966",,Astrodome,12827,2:28,Night,Home,Houston Astros,HOU,Los Angeles Dodgers,LAD,37,5,13,5,5.0,0,8,37,0.351,0.351,0.595,0.946,,,0.026,1.43,0.643,-0.616,1.2,24,9,8.0,2,,,,,,,,28,2,2,-0.527,-4.6,31,8,10,8,6.75,6,2,40,0.323,0.41,0.516,0.926,,,0.527,0.87,1.14,-0.612,4.6,27,10,9.0,1,,,,,,,,24,1,1,-0.027,-1.2
HOU/HOU196604200,"Wednesday, April 20, 1966",,Astrodome,16222,2:28,Night,Away,Los Angeles Dodgers,LAD,Houston Astros,HOU,34,3,8,3,3.0,3,6,38,0.235,0.297,0.353,0.65,,,0.13,1.46,0.682,-0.552,-0.8,27,16,9.0,0,,,,,,,,67,,,0.37,1.8,31,2,7,2,2.0,5,7,38,0.226,0.324,0.323,0.647,,,-0.37,0.86,0.612,-0.981,-1.8,27,12,9.0,1,,,,,,,,51,2,1,-0.13,0.8
HOU/HOU196604220,"Friday, April 22, 1966",,Astrodome,20094,2:10,Night,Home,Houston Astros,HOU,San Francisco Giants,SFG,33,0,8,0,0.0,2,6,35,0.242,0.286,0.242,0.528,,,-0.507,0.55,0.404,-0.91,-3.8,24,9,8.0,2,,,,,,,,47,2,0,0.006,1.4,32,2,8,2,2.25,0,8,32,0.25,0.25,0.438,0.688,,,-0.005,1.25,0.326,-0.332,-1.4,27,13,9.0,0,,,,,,,,75,,,0.506,3.8
HOU/HOU196604231,"Saturday, April 23, 1966",,Astrodome,11963,2:02,Day,Home,Houston Astros,HOU,San Francisco Giants,SFG,31,0,4,0,0.0,2,5,33,0.129,0.182,0.161,0.343,,,-0.41,0.87,0.257,-0.668,-3.8,24,9,8.0,0,,,,,,,,38,1,0,-0.09,-0.6,32,4,11,4,4.5,3,3,37,0.344,0.389,0.469,0.858,,,0.091,0.95,0.592,-0.502,0.6,27,11,9.0,0,,,,,,,,82,,,0.41,3.8
HOU/HOU196604232,"Saturday, April 23, 1966",,Astrodome,28041,1:57,Night,Away,San Francisco Giants,SFG,Houston Astros,HOU,33,2,6,2,1.0,2,3,35,0.182,0.229,0.303,0.532,,,-0.127,1.4,0.58,-0.709,-1.8,27,13,9.0,0,,,,,,,,80,,,0.627,2.8,29,1,4,1,1.0,2,7,33,0.138,0.188,0.172,0.36,,,-0.629,0.97,0.264,-0.891,-2.8,27,10,9.0,1,,,,,,,,65,0,0,0.127,1.8
HOU/HOU196604240,"Sunday, April 24, 1966",,Astrodome,20197,2:14,Day,Away,San Francisco Giants,SFG,Houston Astros,HOU,35,4,9,4,4.0,3,3,38,0.257,0.316,0.486,0.802,,,0.287,0.98,1.088,-0.8,0.2,27,11,9.0,1,,,,,,,,47,1,0,0.211,1.8,35,2,11,1,2.0,3,5,38,0.314,0.368,0.486,0.854,,,-0.212,1.22,0.535,-0.746,-1.8,27,13,9.0,2,,,,,,,,61,2,1,-0.288,-0.2
